CELNBR;Saida;Entrada;Duracao_segundos;Hora;Intervalo;Operadora;acima_abaixo
2,58875E+11;24-11-2017 12:30;24-11-2017 12:30;5;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;24-11-2017 12:15;24-11-2017 12:15;7;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;24-11-2017 12:00;24-11-2017 12:00;6;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;24-11-2017 11:45;24-11-2017 11:45;5;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 11:30;24-11-2017 11:30;5;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 11:15;24-11-2017 11:15;4;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 11:00;24-11-2017 11:00;4;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 10:45;24-11-2017 10:45;5;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 10:30;24-11-2017 10:30;7;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 10:15;24-11-2017 10:15;3;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 10:00;24-11-2017 10:00;5;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 09:45;24-11-2017 09:45;6;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 09:30;24-11-2017 09:30;5;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 09:15;24-11-2017 09:15;4;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 09:00;24-11-2017 09:00;4;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 08:45;24-11-2017 08:45;5;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 08:30;24-11-2017 08:30;6;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 08:15;24-11-2017 08:15;6;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 08:00;24-11-2017 08:00;6;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 19:45;23-11-2017 19:45;6;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;23-11-2017 19:30;23-11-2017 19:30;6;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;23-11-2017 19:15;23-11-2017 19:15;4;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;23-11-2017 19:00;23-11-2017 19:00;4;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;23-11-2017 18:45;23-11-2017 18:45;5;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;23-11-2017 18:30;23-11-2017 18:30;8;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;23-11-2017 18:15;23-11-2017 18:15;6;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;23-11-2017 18:00;23-11-2017 18:00;6;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;23-11-2017 17:45;23-11-2017 17:45;5;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;23-11-2017 17:30;23-11-2017 17:30;13;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;23-11-2017 17:15;23-11-2017 17:15;4;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;23-11-2017 17:00;23-11-2017 17:00;4;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;23-11-2017 16:45;23-11-2017 16:45;4;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;23-11-2017 16:30;23-11-2017 16:30;3;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;23-11-2017 16:15;23-11-2017 16:15;5;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;23-11-2017 16:00;23-11-2017 16:00;3;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;23-11-2017 15:45;23-11-2017 15:45;5;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 15:30;23-11-2017 15:30;6;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 15:15;23-11-2017 15:15;5;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 15:00;23-11-2017 15:00;5;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 14:45;23-11-2017 14:45;6;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 14:30;23-11-2017 14:30;5;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 14:15;23-11-2017 14:15;5;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 14:00;23-11-2017 14:00;5;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 13:45;23-11-2017 13:45;5;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 13:30;23-11-2017 13:30;4;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 13:15;23-11-2017 13:15;7;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 13:00;23-11-2017 13:00;4;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 12:45;23-11-2017 12:45;4;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 12:30;23-11-2017 12:30;6;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 12:15;23-11-2017 12:15;6;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 12:00;23-11-2017 12:00;6;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 11:45;23-11-2017 11:45;4;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 11:30;23-11-2017 11:30;3;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 11:15;23-11-2017 11:15;5;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 11:00;23-11-2017 11:00;5;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 10:45;23-11-2017 10:45;7;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 10:30;23-11-2017 10:30;7;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 10:15;23-11-2017 10:15;6;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 10:00;23-11-2017 10:00;5;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 09:45;23-11-2017 09:45;5;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 09:30;23-11-2017 09:30;8;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 09:15;23-11-2017 09:15;3;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 09:00;23-11-2017 09:00;5;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 08:45;23-11-2017 08:45;5;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 08:30;23-11-2017 08:30;5;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 08:15;23-11-2017 08:15;5;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 08:00;23-11-2017 08:00;6;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;22-11-2017 19:45;22-11-2017 19:45;7;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;22-11-2017 19:30;22-11-2017 19:30;6;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;22-11-2017 19:15;22-11-2017 19:15;8;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;22-11-2017 19:00;22-11-2017 19:00;5;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;22-11-2017 18:45;22-11-2017 18:45;6;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;22-11-2017 18:30;22-11-2017 18:30;4;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;22-11-2017 18:15;22-11-2017 18:15;6;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;22-11-2017 18:00;22-11-2017 18:00;5;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;22-11-2017 17:45;22-11-2017 17:45;5;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;22-11-2017 17:30;22-11-2017 17:30;4;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;22-11-2017 17:15;22-11-2017 17:15;6;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;22-11-2017 17:00;22-11-2017 17:00;5;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;22-11-2017 16:45;22-11-2017 16:45;6;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;22-11-2017 16:30;22-11-2017 16:30;4;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;22-11-2017 16:15;22-11-2017 16:15;5;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;22-11-2017 16:00;22-11-2017 16:00;6;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;22-11-2017 15:45;22-11-2017 15:45;7;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;22-11-2017 15:30;22-11-2017 15:30;4;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;22-11-2017 15:15;22-11-2017 15:15;5;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;22-11-2017 15:00;22-11-2017 15:00;4;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;22-11-2017 14:45;22-11-2017 14:45;5;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;22-11-2017 14:30;22-11-2017 14:30;4;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;22-11-2017 14:15;22-11-2017 14:15;7;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;22-11-2017 14:00;22-11-2017 14:00;7;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;22-11-2017 13:45;22-11-2017 13:45;8;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;22-11-2017 13:30;22-11-2017 13:30;6;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;22-11-2017 13:15;22-11-2017 13:15;7;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;22-11-2017 13:00;22-11-2017 13:00;4;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;22-11-2017 12:45;22-11-2017 12:45;4;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;22-11-2017 12:30;22-11-2017 12:30;5;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;22-11-2017 12:15;22-11-2017 12:15;4;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;22-11-2017 12:00;22-11-2017 12:00;5;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;22-11-2017 11:45;22-11-2017 11:45;4;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;22-11-2017 11:30;22-11-2017 11:30;4;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;22-11-2017 11:15;22-11-2017 11:15;8;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;22-11-2017 11:00;22-11-2017 11:00;13;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;22-11-2017 10:45;22-11-2017 10:45;12;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;22-11-2017 10:30;22-11-2017 10:30;13;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;22-11-2017 10:15;22-11-2017 10:15;7;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;22-11-2017 10:00;22-11-2017 10:00;6;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;22-11-2017 09:45;22-11-2017 09:45;6;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;22-11-2017 09:30;22-11-2017 09:30;6;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;22-11-2017 09:15;22-11-2017 09:15;6;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;22-11-2017 09:00;22-11-2017 09:00;6;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;22-11-2017 08:45;22-11-2017 08:45;7;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;22-11-2017 08:30;22-11-2017 08:30;4;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;22-11-2017 08:15;22-11-2017 08:15;8;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;22-11-2017 08:00;22-11-2017 08:00;9;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;21-11-2017 19:45;21-11-2017 19:45;5;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;21-11-2017 19:30;21-11-2017 19:30;5;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;21-11-2017 19:15;21-11-2017 19:15;4;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;21-11-2017 19:00;21-11-2017 19:00;5;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;21-11-2017 18:45;21-11-2017 18:45;4;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;21-11-2017 18:30;21-11-2017 18:30;5;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;21-11-2017 18:15;21-11-2017 18:15;6;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;21-11-2017 18:00;21-11-2017 18:00;5;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;21-11-2017 17:45;21-11-2017 17:45;7;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;21-11-2017 17:30;21-11-2017 17:30;5;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;21-11-2017 17:15;21-11-2017 17:15;6;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;21-11-2017 17:00;21-11-2017 17:00;7;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;21-11-2017 16:45;21-11-2017 16:45;5;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;21-11-2017 16:30;21-11-2017 16:30;5;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;21-11-2017 16:15;21-11-2017 16:15;7;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;21-11-2017 16:00;21-11-2017 16:00;4;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;21-11-2017 15:45;21-11-2017 15:45;4;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;21-11-2017 15:30;21-11-2017 15:30;6;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;21-11-2017 15:15;21-11-2017 15:15;7;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;21-11-2017 15:00;21-11-2017 15:00;5;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;21-11-2017 14:45;21-11-2017 14:45;4;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;21-11-2017 14:30;21-11-2017 14:30;7;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;21-11-2017 14:15;21-11-2017 14:15;6;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;21-11-2017 14:00;21-11-2017 14:00;6;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;21-11-2017 13:45;21-11-2017 13:45;3;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;21-11-2017 13:30;21-11-2017 13:30;4;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;21-11-2017 13:15;21-11-2017 13:15;6;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;21-11-2017 13:00;21-11-2017 13:00;15;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;21-11-2017 12:45;21-11-2017 12:45;5;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;21-11-2017 12:30;21-11-2017 12:30;7;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;21-11-2017 12:15;21-11-2017 12:15;5;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;21-11-2017 12:00;21-11-2017 12:00;6;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;21-11-2017 11:45;21-11-2017 11:45;5;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;21-11-2017 11:30;21-11-2017 11:30;4;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;21-11-2017 11:15;21-11-2017 11:15;5;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;21-11-2017 11:00;21-11-2017 11:00;8;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;21-11-2017 10:45;21-11-2017 10:45;5;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;21-11-2017 10:30;21-11-2017 10:30;5;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;21-11-2017 10:15;21-11-2017 10:15;6;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;21-11-2017 10:00;21-11-2017 10:00;4;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;21-11-2017 09:45;21-11-2017 09:45;6;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;21-11-2017 09:30;21-11-2017 09:30;3;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;21-11-2017 09:15;21-11-2017 09:15;3;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;21-11-2017 09:00;21-11-2017 09:00;5;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;21-11-2017 08:45;21-11-2017 08:45;9;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;21-11-2017 08:30;21-11-2017 08:30;6;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;21-11-2017 08:15;21-11-2017 08:15;8;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;21-11-2017 08:00;21-11-2017 08:00;7;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;20-11-2017 19:45;20-11-2017 19:45;5;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;20-11-2017 19:30;20-11-2017 19:30;5;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;20-11-2017 19:15;20-11-2017 19:15;7;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;20-11-2017 19:00;20-11-2017 19:00;5;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;20-11-2017 18:45;20-11-2017 18:45;4;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;20-11-2017 18:30;20-11-2017 18:30;7;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;20-11-2017 18:15;20-11-2017 18:15;6;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;20-11-2017 18:00;20-11-2017 18:00;4;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;20-11-2017 17:45;20-11-2017 17:45;10;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;20-11-2017 17:30;20-11-2017 17:30;6;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;20-11-2017 17:15;20-11-2017 17:15;6;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;20-11-2017 17:00;20-11-2017 17:00;4;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;20-11-2017 16:45;20-11-2017 16:45;5;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;20-11-2017 16:30;20-11-2017 16:30;4;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;20-11-2017 16:15;20-11-2017 16:15;11;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;20-11-2017 16:00;20-11-2017 16:00;6;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;20-11-2017 15:45;20-11-2017 15:45;6;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;20-11-2017 15:30;20-11-2017 15:30;4;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;20-11-2017 15:15;20-11-2017 15:15;6;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;20-11-2017 15:00;20-11-2017 15:00;12;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;20-11-2017 14:45;20-11-2017 14:45;5;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;20-11-2017 14:30;20-11-2017 14:30;7;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;20-11-2017 14:15;20-11-2017 14:15;5;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;20-11-2017 14:00;20-11-2017 14:00;6;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;20-11-2017 13:45;20-11-2017 13:45;4;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;20-11-2017 13:30;20-11-2017 13:30;3;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;20-11-2017 13:15;20-11-2017 13:15;4;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;20-11-2017 13:00;20-11-2017 13:00;4;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;20-11-2017 12:45;20-11-2017 12:45;6;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;20-11-2017 12:30;20-11-2017 12:30;7;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;20-11-2017 12:15;20-11-2017 12:15;5;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;20-11-2017 12:00;20-11-2017 12:00;5;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;20-11-2017 11:45;20-11-2017 11:45;6;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;20-11-2017 11:30;20-11-2017 11:30;8;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;20-11-2017 11:15;20-11-2017 11:15;6;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;20-11-2017 11:00;20-11-2017 11:00;6;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;20-11-2017 10:45;20-11-2017 10:45;5;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;20-11-2017 10:30;20-11-2017 10:30;6;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;20-11-2017 10:15;20-11-2017 10:15;6;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;20-11-2017 10:00;20-11-2017 10:00;4;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;20-11-2017 09:45;20-11-2017 09:45;6;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;20-11-2017 09:30;20-11-2017 09:30;5;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;20-11-2017 09:15;20-11-2017 09:15;5;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;20-11-2017 09:00;20-11-2017 09:00;5;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;20-11-2017 08:45;20-11-2017 08:45;6;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;20-11-2017 08:30;20-11-2017 08:30;5;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;20-11-2017 08:15;20-11-2017 08:15;6;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;20-11-2017 08:00;20-11-2017 08:00;6;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;19-11-2017 19:45;19-11-2017 19:45;3;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;19-11-2017 19:30;19-11-2017 19:30;3;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;19-11-2017 19:15;19-11-2017 19:15;4;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;19-11-2017 19:00;19-11-2017 19:00;4;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;19-11-2017 18:45;19-11-2017 18:45;7;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;19-11-2017 18:30;19-11-2017 18:30;3;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;19-11-2017 18:15;19-11-2017 18:15;5;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;19-11-2017 18:00;19-11-2017 18:00;7;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;19-11-2017 17:45;19-11-2017 17:45;7;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;19-11-2017 17:30;19-11-2017 17:30;4;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;19-11-2017 17:15;19-11-2017 17:15;7;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;19-11-2017 17:00;19-11-2017 17:00;6;17;d - 16>18;MVTEL;ABAIXO
